UTA;Processos;Processos por domicilio
01C01;82;383
01C02;163;214
01C03;120;111
01C04;187;317
01C05;145;124
01C06;81;119
01C07;29;160
01C08;56;116
01C09;20;258
01C10;558;155
01C11;121;217
01C12;137;238
01C13;149;166
01C14;59;181
01C15;61;263
01C16;124;99
01C17;259;208
01C18;193;96
01C19;73;239
01C20;51;151
01C21;13;99
01C22;51;282
01C23;75;237
01C24;331;154
01C25;297;124
01C26;106;210
01C27;123;165
01C28;128;177
01C29;15;120
01F01;173;93
01F02;403;114
01F03;1366;299
01F04;128;102
01F05;257;193
01F06;455;124
01F07;340;112
01F08;828;106
01F09;114;119
01F10;286;144
01F11;266;110
01F12;218;139
01F13;162;157
01F14;113;168
04C10;26;102
04C11;30;156
04C21;38;105
09C18;8;171
